"","IDs","H2S_info"
"1","17","bdl"
"2","17","bdl"
"3","17","bdl"
"4","25","bdl"
"5","25","bdl"
"6","25","bdl"
"7","30","bdl"
"8","30","bdl"
"9","30","bdl"
"10","18","bdl"
"11","18","bdl"
"12","18","bdl"
"13","31","Within_Range"
"14","31","Within_Range"
"15","31","Within_Range"
"16","19","bdl"
"17","19","bdl"
"18","19","bdl"
"19","25 Dup","bdl"
"20","25 Dup","bdl"
"21","25 Dup","bdl"
"22","32","bdl"
"23","32","bdl"
"24","32","bdl"
"25","20","bdl"
"26","20","bdl"
"27","20","bdl"
"28","17 Spike","Within_Range"
"29","17 Spike","Within_Range"
"30","17 Spike","Within_Range"
"31","21","bdl"
"32","21","bdl"
"33","21","bdl"
"34","26","bdl"
"35","26","bdl"
"36","26","bdl"
"37","26 Spike","Within_Range"
"38","26 Spike","Within_Range"
"39","26 Spike","Within_Range"
"40","22","bdl"
"41","22","bdl"
"42","22","bdl"
"43","27","bdl"
"44","27","bdl"
"45","27","bdl"
"46","23","bdl"
"47","23","bdl"
"48","23","bdl"
"49","28","Within_Range"
"50","28","Within_Range"
"51","28","Within_Range"
"52","32 Dup","bdl"
"53","32 Dup","bdl"
"54","32 Dup","bdl"
"55","24","bdl"
"56","24","bdl"
"57","24","bdl"
"58","29","bdl"
"59","29","bdl"
"60","29","bdl"
