"Column_Names","Unit","Definition","Column_Long_Name","data_type","Instrument_ifapplicable","Method_ifapplicable"
"Project","NA","Project name: Project component","Project","text","NA","NA"
"Region","NA","Region samples originated from: CB = Chesapeake Bay","Region","text","NA","NA"
"Year","NA","Year (YYYY) of sample collection","Year","numeric","NA","NA"
"Month","NA","Month (MM) of sample collection","Month","numeric","NA","NA"
"Day","NA","Day (DD) of sample collection","Day","numeric","NA","NA"
"Site","NA","Site Code identifier for sampling transect location (GCW, SWH, MSM, GWI), see dataset locations for coordinates","Site","text","NA","NA"
"Plot","NA","Plot within space-for-time transect (UP=Upland, SWAMP = Swamp, TR=Transition, WC= Wetland Control)","Plot","text","NA","NA"
"Replicate","NA","Porewater sample ID used in the field and laboratory","Replicate","text","NA","NA"
"Depth_cm","NA","Collection device used to sample porewater (Porewater Sipper (Teflon))","Depth_cm","text","NA","NA"
"Sample_ID","NA","Replicate (A-C)","Sample_ID","text","Sipper Sampler: Sippers are made of PTFE with Vinyl tubing attached","NA"
"Sampler_Type","cm","Depth interval below the soil surface from which the sample was collected","Sampler_Type","numeric","NA","NA"
"SO4_ppm","ppm","Sulfate concentration","SO4_ppm","numeric","NA","NA"
"SO4_mM","umoles/L","Sulfate concentration","SO4_mM","numeric","NA","NA"
"SO4_flag","NA","Sulfate concentration flag (adl = above detection limit (20 ug/mL), bdl = below detection limit (0 ug/mL))","SO4_flag","text","NA","NA"
"Cl_ppm","ppm","Chloride concentration","Cl_ppm","numeric","NA","NA"
"Cl_mM","umoles/L","Chloride concentration","Cl_mM","numeric","NA","NA"
"Cl_flag","NA","Chloride concentration flag (adl = above detection limit (200 ug/mL), bdl = below detection limit (0 ug/mL))","Cl_flag","text","NA","NA"
"Salinity","ppt","Salinity","Salinity","numeric","Calculated with Knudsen equation (Strickland and Parsons, 1972)","Calculated with Knudsen equation (Strickland and Parsons, 1972)"
"H2S_mean_uM","umoles/L","Sulfide concentration mean","H2S_mean_uM","numeric","Modified Cline (1969) method measured with Agilent BioTek PowerWave Microplate Reader","Adapted from Cline, 1969, Ehrhardt et al., 1999"
"H2S_sd_uM","umoles/L","Sulfide concentration standard deviation","H2S_sd_uM","numeric","Standard deviation of analytical triplicates","Adapted from Cline, 1969, Ehrhardt et al., 1999"
"H2S_flag","NA","Sulfide concentration flag (adl = above detection limit (100 umoles/L), bdl = below detection limit (0 umoles/L))","H2S_flag","text","NA","Adapted from Cline, 1969, Ehrhardt et al., 1999"
"NH3_mgL","mg/L","Ammonia (NH3) concentration","NH3_mgL","numeric","SEAL Instrument: SEAL AQ300 Discrete Analyzer (https://seal-analytical.com/en/products/discrete-analyzers/aq300-discrete-analyzer/)","EPA-103-A Rev. 10"
"NH3_uM","umoles/L","Ammonia (NH3) concentration","NH3_uM","numeric","SEAL Instrument: SEAL AQ300 Discrete Analyzer (https://seal-analytical.com/en/products/discrete-analyzers/aq300-discrete-analyzer/)","EPA-103-A Rev. 10"
"NH3_flag","NA","Ammonia (NH3) concentration flag (adl = above detection limit (2 mg/L), bdl = below detection limit (0.02 mg/L))","NH3_flag","text","NA","EPA-103-A Rev. 10"
"PO4_mgL","mg/L","Phosphate (PO4) concentration","PO4_mgL","numeric","SEAL Instrument: SEAL AQ300 Discrete Analyzer (https://seal-analytical.com/en/products/discrete-analyzers/aq300-discrete-analyzer/)","EPA-155-D Rev. 0"
"PO4_uM","umoles/L","Phosphate (PO4) concentration","PO4_uM","numeric","SEAL Instrument: SEAL AQ300 Discrete Analyzer (https://seal-analytical.com/en/products/discrete-analyzers/aq300-discrete-analyzer/)","EPA-155-D Rev. 0"
"PO4_flag","NA","Phosphate (PO4) concentration flag (adl = above detection limit (0.3 mg/L), bdl = below detection limit (0.003 mg/L))","PO4_flag","text","NA","EPA-155-D Rev. 0"
"NOx_mgL","mg/L","Nitrate - N + Nitrite - N (NOx) concentration","NOx_mgL","numeric","SEAL Instrument: SEAL AQ300 Discrete Analyzer (https://seal-analytical.com/en/products/discrete-analyzers/aq300-discrete-analyzer/)","EPA-160-A Rev. 0"
"NOx_uM","umoles/L","Nitrate - N + Nitrite - N (NOx) concentration","NOx_uM","numeric","SEAL Instrument: SEAL AQ300 Discrete Analyzer (https://seal-analytical.com/en/products/discrete-analyzers/aq300-discrete-analyzer/)","EPA-160-A Rev. 0"
"NOx_flag","NA","Nitrate - N + Nitrite - N (NOx) concentration flag (adl = above detection limit (1 mg/L), bdl = below detection limit (0.025 mg/L))","NOx_flag","text","NA","EPA-160-A Rev. 0"
"FE_2_mean_uM","umoles/L","Iron (II) concentration mean","FE_2_mean_uM","numeric","Adapted from Stookey, 1970, Violler et al., 2000, Charbonnier & Anschutz 2021, Gong 2020 methods measured with Agilent BioTek PowerWave Microplate Reader","Adapted from Stookey, 1970, Violler et al., 2000, Charbonnier & Anschutz 2021, Gong 2020"
"FE_2_sd_uM","umoles/L","Iron (II) concentration standard deviation","FE_2_sd_uM","numeric","Adapted from Stookey, 1970, Violler et al., 2000, Charbonnier & Anschutz 2021, Gong 2020 methods measured with Agilent BioTek PowerWave Microplate Reader","Adapted from Stookey, 1970, Violler et al., 2000, Charbonnier & Anschutz 2021, Gong 2020"
"FE_2_flag","NA","Iron (II) concentration concentration flag (adl = above detection limit (500 umoles/L), bdl = below detection limit (0.6 umoles/L))","FE_2_flag","text","NA","Adapted from Stookey, 1970, Violler et al., 2000, Charbonnier & Anschutz 2021, Gong 2020"
